Character,Experience,HP Increase,MP Increase,SP Increase,Strength Increase,Vitality Increase,Action Increase,Movement Increase,Magic Increase,Mentality Increase,Skillslot Increase
Roan,86418,47,4,3,4,3,1,1,4,4,0
Roan,93416,47,4,3,4,3,1,1,4,4,0
Roan,101253,47,3,3,4,3,1,1,4,4,0
Roan,110187,46,3,3,4,3,1,1,4,4,0
Roan,120461,46,4,3,4,3,1,1,4,4,0
Roan,132481,46,4,4,4,3,1,1,4,4,0
Roan,146424,46,3,3,4,3,1,1,3,4,0
Roan,162876,45,4,3,4,3,1,1,3,4,0
Roan,181960,45,4,3,4,3,1,1,3,4,1
Roan,204383,45,3,3,4,3,1,1,4,4,0
Roan,231178,44,3,4,4,3,1,1,3,3,0
Roan,263332,44,3,3,4,3,1,1,4,3,0
Roan,301756,43,3,3,4,3,1,1,4,3,0
Roan,347864,43,3,3,4,2,1,1,3,3,0
Roan,402963,43,3,3,4,2,1,1,4,3,0
Roan,468415,42,3,3,4,2,1,1,3,3,0
Roan,533950,41,3,3,4,2,1,1,3,3,0
Roan,599485,40,3,3,3,2,1,0,3,3,0
Roan,665020,39,3,3,3,2,1,0,4,3,0
Roan,730555,39,3,3,4,2,1,1,3,3,0
Roan,796090,38,3,3,4,2,1,1,3,3,0
Roan,861625,37,3,3,3,2,1,1,3,3,0
Roan,927160,36,2,2,3,2,1,0,3,3,0
Roan,992695,35,2,2,3,2,1,1,3,3,0
Roan,1058230,34,2,2,4,2,1,0,3,3,0
Roan,1123765,33,2,3,3,2,1,0,3,3,0
Roan,1189300,32,2,3,3,2,0,0,2,3,0
Roan,1254835,31,2,2,3,2,1,0,3,3,0
Roan,1320370,30,3,3,3,2,0,1,2,2,0
Roan,1385905,29,2,2,3,2,0,0,2,3,0
Roan,1451440,28,2,2,2,2,0,0,3,2,0
Roan,1516975,27,2,2,2,2,0,0,2,2,0
Roan,1582510,26,2,2,3,1,0,0,2,2,0
Roan,1648045,24,2,2,2,2,0,0,2,2,0
Roan,1713580,23,2,2,2,1,1,0,2,2,0
Roan,1779115,21,1,2,2,1,0,0,2,2,0
Roan,1844650,20,1,1,2,2,0,0,1,2,0
Roan,1910185,18,2,1,2,1,0,0,1,1,0
Roan,1975720,17,1,1,1,1,1,0,1,1,0
Roan,2041255,15,1,2,1,1,0,0,2,1,0
Roan,2106790,14,1,1,1,1,0,0,2,1,0
Roan,2172325,12,1,1,2,1,1,0,1,1,0
Roan,2237860,11,1,1,1,1,0,1,1,1,0
Roan,2303395,9,1,1,1,0,0,0,1,1,0
Roan,2368930,7,0,0,1,0,0,0,0,0,0
Roan,2434465,5,0,1,1,0,0,0,0,0,0
Roan,2500000,4,1,0,0,0,0,0,0,0,0
Tio,0,255,42,53,91,93,98,90,35,63,0
Tio,12,3,0,0,0,1,0,1,1,0,0
Tio,30,5,1,0,1,0,0,0,0,0,0
Tio,56,8,0,0,1,0,0,0,0,0,0
Tio,92,10,1,1,1,1,1,0,0,0,0
Tio,140,14,0,0,1,1,0,0,1,1,0
Tio,202,15,1,1,2,2,0,0,0,1,0
Tio,281,18,0,1,1,1,0,1,0,1,0
Tio,379,20,1,1,1,1,0,1,0,1,0
Tio,496,22,1,1,1,1,1,0,1,2,0
Tio,634,25,1,1,2,2,0,0,1,1,1
Tio,798,27,1,1,2,2,1,0,1,1,0
Tio,991,29,1,1,2,2,0,0,1,1,0
Tio,1213,31,1,1,2,2,0,1,1,1,0
Tio,1479,33,1,1,2,2,0,0,1,1,0
Tio,1794,35,1,1,3,2,0,0,1,2,0
Tio,2159,37,1,1,2,2,1,0,1,2,0
Tio,2584,39,1,1,3,3,0,1,2,2,0
Tio,3064,41,2,2,3,3,0,0,1,2,0
Tio,3604,42,2,2,3,3,0,0,1,2,0
Tio,4200,44,1,2,4,3,0,0,1,2,1
Tio,4864,46,1,2,3,4,0,0,1,3,0
Tio,5587,47,1,2,3,3,0,0,2,2,0
Tio,6385,49,1,2,3,3,1,0,1,2,0
Tio,7254,50,2,2,3,4,1,0,1,2,0
Tio,8205,51,2,2,3,4,1,1,1,3,0
Tio,9236,53,2,2,4,4,1,1,2,2,0
Tio,10364,54,2,3,4,4,1,1,1,2,0
Tio,11604,55,2,2,4,4,1,1,1,3,0
Tio,12961,57,2,2,4,4,1,1,1,3,0
Tio,14453,58,2,2,4,5,1,1,1,3,1
Tio,16079,59,2,2,4,5,1,1,1,3,0
Tio,17859,60,2,2,4,4,1,1,2,3,0
Tio,19808,61,2,3,4,5,1,1,2,3,0
Tio,21903,62,2,2,4,4,1,1,2,3,0
Tio,24144,62,2,2,4,5,1,1,2,3,0
Tio,26530,64,2,3,4,5,1,1,2,3,0
Tio,29047,64,3,3,4,4,1,1,2,3,0
Tio,31677,65,2,2,5,5,1,1,2,4,0
Tio,34438,65,2,2,5,4,1,1,2,3,0
Tio,37309,67,2,3,4,5,1,1,2,4,1
Tio,40280,66,2,3,4,5,1,1,2,3,0
Tio,43340,67,3,3,4,5,1,1,2,4,0
Tio,46507,67,3,3,5,5,1,1,2,4,0
Tio,49800,68,2,3,5,5,1,1,2,3,0
Tio,53274,68,3,3,5,5,1,1,2,4,0
Tio,56973,69,3,3,5,5,1,1,2,3,0
Tio,60893,68,2,3,5,5,1,1,2,3,0
Tio,65087,69,3,3,5,5,1,1,2,4,0
Tio,69637,69,2,3,5,5,1,1,2,3,0
Tio,74642,69,2,3,5,5,1,1,2,3,1
Tio,80197,69,2,3,5,5,1,1,2,3,0
Tio,86418,69,2,3,5,5,1,1,2,3,0
Tio,93416,68,3,3,5,5,1,1,2,3,0
Tio,101253,68,3,3,5,5,1,1,2,3,0
Tio,110187,68,3,3,5,5,1,1,2,3,0
Tio,120461,68,2,3,5,5,1,1,2,3,0
Tio,132481,67,3,3,5,5,1,1,2,3,0
Tio,146424,67,2,3,5,5,1,1,2,3,0
Tio,162876,67,2,3,5,5,1,1,2,3,0
Tio,181960,66,2,3,4,5,1,1,2,3,1
Tio,204383,65,2,2,5,4,1,1,2,3,0
Tio,231178,65,2,2,4,5,1,1,2,4,0
Tio,263332,64,2,2,4,4,1,1,2,3,0
Tio,301756,64,2,2,4,5,1,1,2,4,0
Tio,347864,62,2,2,4,4,1,1,2,3,0
Tio,402963,62,2,2,4,4,1,1,2,3,0
Tio,468415,61,2,2,5,5,1,1,2,3,0
Tio,533950,60,2,2,5,4,1,1,1,3,0
Tio,599485,59,2,2,4,4,1,1,1,3,0
Tio,665020,58,2,2,4,4,1,1,1,3,0
Tio,730555,57,2,3,4,4,1,1,1,3,0
Tio,796090,55,2,3,4,4,1,1,2,3,0
Tio,861625,54,2,2,4,4,1,1,1,3,0
Tio,927160,53,2,2,4,4,1,1,1,2,0
Tio,992695,51,2,2,3,4,1,0,1,2,0
Tio,1058230,51,2,2,3,3,1,1,1,2,0
Tio,1123765,49,1,2,3,3,1,0,1,3,0
Tio,1189300,47,1,2,4,3,0,1,1,2,0
Tio,1254835,46,1,2,3,3,0,1,1,2,0
Tio,1320370,44,2,2,3,3,0,1,2,2,0
Tio,1385905,42,1,2,3,3,0,0,1,3,0
Tio,1451440,41,1,2,3,3,0,0,2,2,0
Tio,1516975,39,1,1,3,3,0,0,1,2,0
Tio,1582510,37,2,1,2,3,0,1,1,2,0
Tio,1648045,36,2,1,2,2,0,0,1,2,0
Tio,1713580,33,1,1,2,3,0,0,1,1,0
Tio,1779115,31,1,1,3,2,0,1,1,1,0
Tio,1844650,29,1,1,2,2,0,0,1,1,0
Tio,1910185,27,1,2,2,2,0,0,1,1,0
Tio,1975720,25,1,1,2,2,0,0,1,1,0
Tio,2041255,22,1,1,1,1,0,1,1,1,0
Tio,2106790,20,1,1,2,1,0,1,1,1,0
Tio,2172325,18,0,1,1,1,0,0,0,1,0
Tio,2237860,16,0,1,1,1,0,0,1,1,0
Tio,2303395,13,1,0,1,1,0,0,0,1,0
Tio,2368930,10,1,0,1,1,0,1,1,0,0
Tio,2434465,8,1,0,0,0,0,0,0,1,0
Tio,2500000,6,0,0,0,0,1,0,0,0,0
Mareg,0,362,50,101,99,86,62,57,42,43,0
Mareg,12,4,0,1,0,1,0,1,0,0,0
Mareg,30,8,0,0,0,1,0,1,0,0,0
Mareg,56,12,0,1,0,1,1,0,0,0,0
